

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	96.000000	97.500000	
0.05 	72.784020	97.003745	
0.033 	48.804617	98.433636	
0.025 	39.725172	90.880700	
0.02 	25.700000	94.950000	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	97.250000	97.750000	
0.05 	75.780275	98.501873	
0.033 	44.187964	95.218467	
0.025 	37.476577	97.626483	
0.02 	31.800000	92.900000	
 
CBR Pkt_size:	 150
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	98.750000	97.250000	
0.05 	63.171036	93.757803	
0.033 	45.671888	94.311624	
0.025 	23.985009	92.879450	
0.02 	27.800000	90.650000	
 
CBR Pkt_size:	 200
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	82.250000	98.250000	
0.05 	49.812734	96.254682	
0.033 	25.886232	93.816983	
0.025 	23.672705	92.816989	
0.02 	23.000000	90.850000	
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	92.750000	95.750000	
0.05 	44.444444	97.128589	
0.033 	33.223413	92.003298	
0.025 	23.173017	90.006246	
0.02 	19.250000	

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
90.250000	
 
CBR Pkt_size:	 50
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	96.250000	97.750000	
0.05 	82.147316	98.876404	
0.033 	53.998351	96.042869	
0.025 	46.096190	97.938788	
0.02 	35.750000	95.100000	
 
CBR Pkt_size:	 100
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	91.250000	97.250000	
0.05 	75.780275	98.626717	
0.033 	53.338829	96.455070	
0.025 	39.600250	98.438476	
0.02 	32.500000	94.750000	
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	98.250000	98.750000	
0.05 	71.910112	

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.05 	71.910112	
0.033 	51.937345	
0.025 	33.978763	
0.02 	27.350000	
 
CBR Pkt_size:	 200
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	95.500000	
0.05 	64.294632	
0.033 	37.262984	
0.025 	29.856340	
0.02 	23.850000	
 
CBR Pkt_size:	 250
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	89.000000	
0.05 	61.298377	
0.033 	43.528442	
0.025 	27.732667	
0.02 	23.250000	
 
CBR Pkt_size:	 50
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	96.750000	
0.05 	93.133583	
0.033 	69.744435	
0.025 	48.219863	
0.02 	41.550000	
 
CBR Pkt_size:	 100
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	95.250000	
0.05 	84.769039	
0.033 	54.080791	
0.025 	38.600874	
0.02 	37.750000	
 
CBR Pkt_size:	 150
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	93.750000	
0.05 	66.042447	
0.033 	46.661171	
0.025 	42.723298	
0.02 	32.900000	
 
CBR Pkt_size:	 200
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	96.750000	
0.05 	73.782772	
0.033 	48.309975	
0.025 	32.354778	
0.02 	28.850000	
 
CBR Pkt_size:	 250
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	94.250000	
0.05 	58.676654	
0.033 	38.829349	
0.025 	29.856340	
0.02 	26.000000	
 
CBR Pkt_size:	 50
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	96.750000	
0.05 	93.508115	
0.033 	65.539984	
0.025 	53.091818	
0.02 	41.250000	
 
CBR Pkt_size:	 100
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	95.750000	
0.05 	89.013733	
0.033 	58.450124	
0.025 	49.594004	
0.02 	40.850000	
 
CBR Pkt_size:	 150
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	94.750000	
0.05 	81.398252	
0.033 	60.016488	
0.025 	45.534041	
0.02 	30.300000	
 
CBR Pkt_size:	 200
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	96.500000	
0.05 	70.911361	
0.033 	52.431987	
0.025 	37.101811	
0.02 	27.650000	
 
CBR Pkt_size:	 250
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	95.750000	
0.05 	65.543071	
0.033 	45.507007	
0.025 	35.977514	
0.02 	30.200000	
 
CBR Pkt_size:	 50
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	96.500000	
0.05 	95.380774	
0.033 	77.081616	
0.025 	58.213616	
0.02 	47.700000	
 
CBR Pkt_size:	 100
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	96.750000	
0.05 	92.259675	
0.033 	66.941467	
0.025 	43.597751	
0.02 	40.150000	
 
CBR Pkt_size:	 150
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	95.750000	
0.05 	87.141074	
0.033 	58.367683	
0.025 	49.469082	
0.02 	33.250000	
 
CBR Pkt_size:	 200
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	95.250000	
0.05 	77.403246	
0.033 	53.503710	
0.025 	39.225484	
0.02 	31.950000	
 
CBR Pkt_size:	 250
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	95.500000	
0.05 	78.027466	
0.033 	47.155812	
0.025 	36.414741	
0.02 	29.900000	
 


No.of nodes:	 20
Area:	 500 x 500
Mobility:	 10
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	64.250000	
0.05 	72.534332	
0.033 	54.328112	
0.025 	36.664585	
0.02 	48.800000	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	85.250000	
0.05 	63.295880	
0.033 	71.310800	
0.025 	47.595253	
0.02 	66.750000	
 
CBR Pkt_size:	 150
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	71.250000	
0.05 	77.403246	
0.033 	74.196208	
0.025 	42.161149	
0.02 	30.900000	
 
CBR Pkt_size:	 200
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	67.500000	
0.05 	78.526841	
0.033 	71.558120	
0.025 	68.769519	
0.02 	64.600000	
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	74.000000	
0.05 	81.023720	
0.033 	67.930750	
0.025 	76.514678	
0.02 	67.300000	
 
CBR Pkt_size:	 50
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	82.000000	
0.05 	90.137328	
0.033 	86.727123	
0.025 	62.398501	
0.02 	82.650000	
 
CBR Pkt_size:	 100
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	90.500000	
0.05 	81.398252	
0.033 	79.554823	
0.025 	68.644597	
0.02 	46.150000	
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	73.500000	
0.05 	86.142322	
0.033 	84.913438	
0.025 	46.096190	
0.02 	64.800000	
 
CBR Pkt_size:	 200
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	85.000000	
0.05 	87.515605	
0.033 	82.028030	
0.025 	71.330418	
0.02 	88.200000	
 
CBR Pkt_size:	 250
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	81.250000	
0.05 	87.890137	
0.033 	85.325639	
0.025 	53.903810	
0.02 	72.400000	
 
CBR Pkt_size:	 50
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	84.750000	
0.05 	81.897628	
0.033 	77.493817	
0.025 	93.129294	
0.02 	80.550000	
 
CBR Pkt_size:	 100
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	81.000000	
0.05 	84.893883	
0.033 	86.067601	
0.025 	55.965022	
0.02 	93.100000	
 
CBR Pkt_size:	 150
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	53.000000	
0.05 	68.039950	
0.033 	79.554823	
0.025 	86.758276	
0.02 	64.600000	
 
CBR Pkt_size:	 200
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	84.750000	
0.05 	64.294632	
0.033 	73.784007	
0.025 	85.071830	
0.02 	80.700000	
 
CBR Pkt_size:	 250
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	85.500000	
0.05 	93.632959	
0.033 	92.415499	
0.025 	93.691443	
0.02 	52.800000	
 
CBR Pkt_size:	 50
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	80.750000	
0.05 	81.398252	
0.033 	82.687552	
0.025 	57.651468	
0.02 	78.450000	
 
CBR Pkt_size:	 100
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	79.750000	
0.05 	73.158552	
0.033 	79.389942	
0.025 	81.324172	
0.02 	71.000000	
 
CBR Pkt_size:	 150
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	81.250000	
0.05 	80.024969	
0.033 	80.708986	
0.025 	60.024984	
0.02 	86.750000	
 
CBR Pkt_size:	 200
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	81.250000	
0.05 	81.772784	
0.033 	80.544106	
0.025 	75.515303	
0.02 	57.600000	
 
CBR Pkt_size:	 250
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	74.500000	
0.05 	70.037453	
0.033 	79.719703	
0.025 	67.145534	
