

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.960615	0.032184	
0.05 	1.977193	0.061128	
0.033 	2.630864	0.063351	
0.025 	3.299200	0.066741	
0.02 	3.233678	0.131239	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.821002	0.033813	
0.05 	1.552511	0.070980	
0.033 	3.183910	0.073963	
0.025 	2.709880	0.105560	
0.02 	3.070696	0.122967	
 
CBR Pkt_size:	 150
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.819311	0.030058	
0.05 	2.369717	0.058820	
0.033 	3.490783	0.089365	
0.025 	5.172307	0.117073	
0.02 	4.447649	0.129828	
 
CBR Pkt_size:	 200
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	1.403846	0.043077	
0.05 	3.331278	0.061675	
0.033 	4.935122	0.091948	
0.025 	4.011226	0.139315	
0.02 	6.344028	0.186263	
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	1.133567	0.036631	
0.05 	2.638083	0.057256	
0.033 	4.401778	0.087645	
0.025 	4.596412	0.109635	
0.02 	5.065707	

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.259115	
 
CBR Pkt_size:	 50
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.847719	0.032030	
0.05 	1.374451	0.055127	
0.033 	2.291846	0.069574	
0.025 	2.627099	0.094191	
0.02 	2.141375	0.137008	
 
CBR Pkt_size:	 100
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.836719	0.031160	
0.05 	1.776688	0.048086	
0.033 	2.666736	0.074640	
0.025 	2.551698	0.123227	
0.02 	2.940486	0.154856	
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.746507	0.037828	
0.05 	2.070800	

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.05 	2.070800	
0.033 	2.501869	
0.025 	3.499408	
0.02 	3.715170	
 
CBR Pkt_size:	 200
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.956700	
0.05 	2.644488	
0.033 	3.437800	
0.025 	4.203178	
0.02 	4.929298	
 
CBR Pkt_size:	 250
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	1.044417	
0.05 	2.811777	
0.033 	3.324972	
0.025 	4.557757	
0.02 	6.057456	
 
CBR Pkt_size:	 50
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.664537	
0.05 	0.835522	
0.033 	1.724309	
0.025 	2.331734	
0.02 	2.486694	
 
CBR Pkt_size:	 100
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.702327	
0.05 	1.318809	
0.033 	2.605736	
0.025 	2.483957	
0.02 	2.853475	
 
CBR Pkt_size:	 150
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.893056	
0.05 	1.917207	
0.033 	3.609515	
0.025 	2.629427	
0.02 	3.152401	
 
CBR Pkt_size:	 200
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.818695	
0.05 	1.995841	
0.033 	2.574850	
0.025 	4.228009	
0.02 	3.816744	
 
CBR Pkt_size:	 250
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.900761	
0.05 	2.877970	
0.033 	3.797173	
0.025 	4.784261	
0.02 	4.782625	
 
CBR Pkt_size:	 50
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.587032	
0.05 	1.015504	
0.033 	1.849495	
0.025 	1.955685	
0.02 	2.996616	
 
CBR Pkt_size:	 100
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.580386	
0.05 	0.932212	
0.033 	2.117828	
0.025 	3.144971	
0.02 	2.595876	
 
CBR Pkt_size:	 150
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.669275	
0.05 	1.597473	
0.033 	2.576864	
0.025 	2.679571	
0.02 	3.146458	
 
CBR Pkt_size:	 200
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.658470	
0.05 	2.826315	
0.033 	3.173981	
0.025 	3.038028	
0.02 	4.258085	
 
CBR Pkt_size:	 250
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.674349	
0.05 	2.697745	
0.033 	3.256286	
0.025 	3.607913	
0.02 	4.476682	
 
CBR Pkt_size:	 50
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.474728	
0.05 	0.916793	
0.033 	1.379173	
0.025 	1.798015	
0.02 	2.251727	
 
CBR Pkt_size:	 100
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.530761	
0.05 	0.960211	
0.033 	2.063854	
0.025 	2.702825	
0.02 	2.763372	
 
CBR Pkt_size:	 150
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.576315	
0.05 	1.253884	
0.033 	2.193136	
0.025 	2.662777	
0.02 	2.954302	
 
CBR Pkt_size:	 200
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.553297	
0.05 	1.919997	
0.033 	2.711667	
0.025 	3.165745	
0.02 	3.425928	
 
CBR Pkt_size:	 250
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.577952	
0.05 	2.120419	
0.033 	3.724301	
0.025 	3.680906	
0.02 	4.728245	
 


No.of nodes:	 20
Area:	 500 x 500
Mobility:	 10
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.009487	
0.05 	0.010193	
0.033 	0.026994	
0.025 	0.078552	
0.02 	0.059672	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.011318	
0.05 	0.011288	
0.033 	0.025263	
0.025 	0.093923	
0.02 	0.015367	
 
CBR Pkt_size:	 150
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.012132	
0.05 	0.012392	
0.033 	0.013298	
0.025 	0.261888	
0.02 	0.021605	
 
CBR Pkt_size:	 200
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.013583	
0.05 	0.014192	
0.033 	0.071732	
0.025 	0.015953	
0.02 	0.020936	
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.014691	
0.05 	0.015238	
0.033 	0.025731	
0.025 	0.084196	
0.02 	0.061219	
 
CBR Pkt_size:	 50
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.010115	
0.05 	0.010120	
0.033 	0.010856	
0.025 	0.048971	
0.02 	0.045103	
 
CBR Pkt_size:	 100
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.010666	
0.05 	0.011252	
0.033 	0.012030	
0.025 	0.012919	
0.02 	0.022808	
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.011947	
0.05 	0.012812	
0.033 	0.013581	
0.025 	0.138037	
0.02 	0.019145	
 
CBR Pkt_size:	 200
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.013816	
0.05 	0.013312	
0.033 	0.023252	
0.025 	0.016374	
0.02 	0.047519	
 
CBR Pkt_size:	 250
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.014519	
0.05 	0.015340	
0.033 	0.017117	
0.025 	0.112913	
0.02 	0.075580	
 
CBR Pkt_size:	 50
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.009906	
0.05 	0.010143	
0.033 	0.031342	
0.025 	0.010428	
0.02 	0.042119	
 
CBR Pkt_size:	 100
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.010347	
0.05 	0.011141	
0.033 	0.011638	
0.025 	0.070865	
0.02 	0.014059	
 
CBR Pkt_size:	 150
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.012715	
0.05 	0.012637	
0.033 	0.014041	
0.025 	0.015116	
0.02 	0.020005	
 
CBR Pkt_size:	 200
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.013255	
0.05 	0.014565	
0.033 	0.040048	
0.025 	0.016505	
0.02 	0.056721	
 
CBR Pkt_size:	 250
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.014536	
0.05 	0.015383	
0.033 	0.016324	
0.025 	0.019194	
0.02 	0.028183	
 
CBR Pkt_size:	 50
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.009830	
0.05 	0.010064	
0.033 	0.010437	
0.025 	0.012111	
0.02 	0.012084	
 
CBR Pkt_size:	 100
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.010842	
0.05 	0.011413	
0.033 	0.011714	
0.025 	0.012492	
0.02 	0.015355	
 
CBR Pkt_size:	 150
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.012253	
0.05 	0.012325	
0.033 	0.013719	
0.025 	0.014072	
0.02 	0.016240	
 
CBR Pkt_size:	 200
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.013804	
0.05 	0.013839	
0.033 	0.015382	
0.025 	0.017216	
0.02 	0.022995	
 
CBR Pkt_size:	 250
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.014417	
0.05 	0.015784	
0.033 	0.016564	
0.025 	0.025938	
