

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.100912	0.101461	
0.05 	0.071894	0.050978	
0.033 	0.068091	0.033253	
0.025 	0.075259	0.027296	
0.02 	0.076106	0.020656	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.101183	0.101187	
0.05 	0.069414	0.050541	
0.033 	0.080433	0.034309	
0.025 	0.073075	0.025443	
0.02 	0.067268	0.021106	
 
CBR Pkt_size:	 150
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.102791	0.102057	
0.05 	0.082711	0.052677	
0.033 	0.083441	0.034778	
0.025 	0.121394	0.026581	
0.02 	0.085549	0.021900	
 
CBR Pkt_size:	 200
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.130124	0.101003	
0.05 	0.104077	0.051375	
0.033 	0.138641	0.034567	
0.025 	0.097823	0.026635	
0.02 	0.102265	0.021803	
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.115562	0.103570	
0.05 	0.095271	0.051072	
0.033 	0.105346	0.035451	
0.025 	0.092903	0.027468	
0.02 	0.098020	

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.021850	
 
CBR Pkt_size:	 50
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.102462	0.101200	
0.05 	0.063741	0.050014	
0.033 	0.061989	0.034081	
0.025 	0.058739	0.025327	
0.02 	0.060843	0.020624	
 
CBR Pkt_size:	 100
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.106720	0.101710	
0.05 	0.065208	0.050477	
0.033 	0.070591	0.033770	
0.025 	0.068361	0.025233	
0.02 	0.065886	0.020693	
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.103663	0.100503	
0.05 	0.077986	

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.05 	0.077986	
0.033 	0.065547	
0.025 	0.083335	
0.02 	0.076785	
 
CBR Pkt_size:	 200
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.104925	
0.05 	0.082680	
0.033 	0.095822	
0.025 	0.089261	
0.02 	0.081619	
 
CBR Pkt_size:	 250
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.114222	
0.05 	0.093286	
0.033 	0.078422	
0.025 	0.111351	
0.02 	0.106416	
 
CBR Pkt_size:	 50
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.103916	
0.05 	0.053816	
0.033 	0.050172	
0.025 	0.055255	
0.02 	0.050919	
 
CBR Pkt_size:	 100
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.102253	
0.05 	0.057078	
0.033 	0.066044	
0.025 	0.065602	
0.02 	0.055837	
 
CBR Pkt_size:	 150
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.107986	
0.05 	0.080086	
0.033 	0.076926	
0.025 	0.059413	
0.02 	0.063135	
 
CBR Pkt_size:	 200
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.102295	
0.05 	0.070611	
0.033 	0.072522	
0.025 	0.082051	
0.02 	0.076437	
 
CBR Pkt_size:	 250
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.107846	
0.05 	0.089441	
0.033 	0.090844	
0.025 	0.090465	
0.02 	0.089125	
 
CBR Pkt_size:	 50
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.103236	
0.05 	0.052437	
0.033 	0.050641	
0.025 	0.047749	
0.02 	0.052870	
 
CBR Pkt_size:	 100
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.102572	
0.05 	0.054346	
0.033 	0.059972	
0.025 	0.056763	
0.02 	0.050139	
 
CBR Pkt_size:	 150
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.106839	
0.05 	0.059927	
0.033 	0.058764	
0.025 	0.062295	
0.02 	0.074572	
 
CBR Pkt_size:	 200
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.104567	
0.05 	0.072475	
0.033 	0.066929	
0.025 	0.071473	
0.02 	0.077707	
 
CBR Pkt_size:	 250
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.104933	
0.05 	0.081548	
0.033 	0.076060	
0.025 	0.072182	
0.02 	0.073666	
 
CBR Pkt_size:	 50
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.102620	
0.05 	0.051989	
0.033 	0.043274	
0.025 	0.044901	
0.02 	0.044904	
 
CBR Pkt_size:	 100
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.101939	
0.05 	0.053003	
0.033 	0.053215	
0.025 	0.061467	
0.02 	0.052861	
 
CBR Pkt_size:	 150
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.103801	
0.05 	0.055890	
0.033 	0.059375	
0.025 	0.056704	
0.02 	0.064577	
 
CBR Pkt_size:	 200
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.104647	
0.05 	0.063209	
0.033 	0.062896	
0.025 	0.068369	
0.02 	0.067220	
 
CBR Pkt_size:	 250
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.105396	
0.05 	0.065955	
0.033 	0.073230	
0.025 	0.074371	
0.02 	0.073997	
 


No.of nodes:	 20
Area:	 500 x 500
Mobility:	 10
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.155861	
0.05 	0.068967	
0.033 	0.060785	
0.025 	0.069270	
0.02 	0.041643	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.117411	
0.05 	0.079052	
0.033 	0.046298	
0.025 	0.052586	
0.02 	0.029970	
 
CBR Pkt_size:	 150
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.140495	
0.05 	0.064621	
0.033 	0.044489	
0.025 	0.060609	
0.02 	0.064803	
 
CBR Pkt_size:	 200
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.148352	
0.05 	0.063705	
0.033 	0.046132	
0.025 	0.036371	
0.02 	0.030970	
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.135255	
0.05 	0.061729	
0.033 	0.048599	
0.025 	0.032680	
0.02 	0.029972	
 
CBR Pkt_size:	 50
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.122020	
0.05 	0.055478	
0.033 	0.038056	
0.025 	0.040080	
0.02 	0.024367	
 
CBR Pkt_size:	 100
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.110527	
0.05 	0.061444	
0.033 	0.041490	
0.025 	0.036430	
0.02 	0.045497	
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.136178	
0.05 	0.058055	
0.033 	0.038869	
0.025 	0.055428	
0.02 	0.030873	
 
CBR Pkt_size:	 200
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.117700	
0.05 	0.057143	
0.033 	0.040238	
0.025 	0.030083	
0.02 	0.022678	
 
CBR Pkt_size:	 250
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.123150	
0.05 	0.056900	
0.033 	0.038681	
0.025 	0.046230	
0.02 	0.027630	
 
CBR Pkt_size:	 50
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.118048	
0.05 	0.061069	
0.033 	0.042594	
0.025 	0.026846	
0.02 	0.025182	
 
CBR Pkt_size:	 100
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.123531	
0.05 	0.058911	
0.033 	0.038347	
0.025 	0.044693	
0.02 	0.021483	
 
CBR Pkt_size:	 150
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.189102	
0.05 	0.073530	
0.033 	0.041489	
0.025 	0.028819	
0.02 	0.030969	
 
CBR Pkt_size:	 200
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.118047	
0.05 	0.077821	
0.033 	0.045834	
0.025 	0.029391	
0.02 	0.024792	
 
CBR Pkt_size:	 250
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.117010	
0.05 	0.053426	
0.033 	0.035711	
0.025 	0.026685	
0.02 	0.037906	
 
CBR Pkt_size:	 50
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.123604	
0.05 	0.061445	
0.033 	0.039917	
0.025 	0.034193	
0.02 	0.024987	
 
CBR Pkt_size:	 100
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.125157	
0.05 	0.065129	
0.033 	0.041595	
0.025 	0.030746	
0.02 	0.028175	
 
CBR Pkt_size:	 150
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.123151	
0.05 	0.062501	
0.033 	0.040896	
0.025 	0.032847	
0.02 	0.022595	
 
CBR Pkt_size:	 200
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.123164	
0.05 	0.060933	
0.033 	0.040138	
0.025 	0.033112	
0.02 	0.027385	
 
CBR Pkt_size:	 250
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.128284	
0.05 	0.063306	
0.033 	0.040550	
0.025 	0.038834	
