

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	136.562500	40.628205	
0.05 	93.691252	20.061776	
0.033 	91.805743	13.034338	
0.025 	86.962264	11.052921	
0.02 	106.073930	8.588204	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	133.285347	40.685422	
0.05 	87.896211	20.332066	
0.033 	102.358209	13.756710	
0.025 	90.946667	10.239283	
0.02 	86.245283	8.530140	
 
CBR Pkt_size:	 150
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	131.612658	39.956298	
0.05 	106.924901	21.198402	
0.033 	98.104693	13.966783	
0.025 	143.906250	10.825824	
0.02 	101.631295	9.216216	
 
CBR Pkt_size:	 200
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	159.805471	40.826972	
0.05 	134.375940	20.247730	
0.033 	170.904459	14.348858	
0.025 	143.532982	11.159489	
0.02 	121.367391	9.272427	
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	142.636119	41.866841	
0.05 	151.926966	20.640103	
0.033 	136.620347	13.988351	
0.025 	149.064690	11.354615	
0.02 	147.044156	

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
9.522992	
 
CBR Pkt_size:	 50
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	132.075325	39.920716	
0.05 	80.705167	19.592172	
0.033 	82.519084	13.296137	
0.025 	73.647696	10.065051	
0.02 	76.944056	8.553628	
 
CBR Pkt_size:	 100
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	143.641096	40.285347	
0.05 	85.970346	20.039241	
0.033 	83.431221	13.288889	
0.025 	84.402208	9.956853	
0.02 	82.955385	8.707124	
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	130.183206	39.182278	
0.05 	92.342014	

No.of nodes:	 100
Area:	 1000 x 1000
Mobility:	 10
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.05 	92.342014	
0.033 	83.961905	
0.025 	95.994485	
0.02 	100.020110	
 
CBR Pkt_size:	 200
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	133.049738	
0.05 	102.481553	
0.033 	116.858407	
0.025 	112.332636	
0.02 	118.020964	
 
CBR Pkt_size:	 250
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	143.862360	
0.05 	108.362525	
0.033 	101.359848	
0.025 	121.072072	
0.02 	119.651613	
 
CBR Pkt_size:	 50
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	128.958656	
0.05 	68.231903	
0.033 	63.218676	
0.025 	69.014249	
0.02 	64.916968	
 
CBR Pkt_size:	 100
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	129.895013	
0.05 	75.477172	
0.033 	80.591463	
0.025 	85.579288	
0.02 	71.437086	
 
CBR Pkt_size:	 150
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	132.034667	
0.05 	98.691871	
0.033 	94.701413	
0.025 	77.087719	
0.02 	81.483283	
 
CBR Pkt_size:	 200
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	126.878553	
0.05 	87.059222	
0.033 	90.011945	
0.025 	102.791506	
0.02 	93.086655	
 
CBR Pkt_size:	 250
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	133.732095	
0.05 	110.497872	
0.033 	112.723992	
0.025 	112.089958	
0.02 	104.601923	
 
CBR Pkt_size:	 50
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	125.069767	
0.05 	68.048064	
0.033 	64.596226	
0.025 	61.989412	
0.02 	64.712727	
 
CBR Pkt_size:	 100
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	124.971279	
0.05 	68.900421	
0.033 	72.033850	
0.025 	66.732997	
0.02 	64.319461	
 
CBR Pkt_size:	 150
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	129.031662	
0.05 	76.957055	
0.033 	71.129121	
0.025 	71.270233	
0.02 	85.529703	
 
CBR Pkt_size:	 200
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	125.269430	
0.05 	90.096831	
0.033 	81.341195	
0.025 	87.925926	
0.02 	97.893309	
 
CBR Pkt_size:	 250
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	126.767624	
0.05 	96.607619	
0.033 	93.143116	
0.025 	89.170139	
0.02 	88.605960	
 
CBR Pkt_size:	 50
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	122.707254	
0.05 	62.984293	
0.033 	54.297326	
0.025 	55.415236	
0.02 	55.006289	
 
CBR Pkt_size:	 100
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	120.881137	
0.05 	67.362652	
0.033 	62.679803	
0.025 	74.987106	
0.02 	64.550436	
 
CBR Pkt_size:	 150
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	121.840731	
0.05 	69.146132	
0.033 	69.959040	
0.025 	64.167929	
0.02 	78.266165	
 
CBR Pkt_size:	 200
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	123.191601	
0.05 	80.532258	
0.033 	76.137134	
0.025 	82.152866	
0.02 	80.359937	
 
CBR Pkt_size:	 250
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	124.230366	
0.05 	78.796800	
0.033 	89.361888	
0.025 	87.015437	
0.02 	87.309365	
 


No.of nodes:	 20
Area:	 500 x 500
Mobility:	 10
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	26.132296	
0.05 	13.597246	
0.033 	13.849772	
0.025 	16.487223	
0.02 	11.781762	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	19.806452	
0.05 	15.289941	
0.033 	10.671676	
0.025 	13.032808	
0.02 	8.453184	
 
CBR Pkt_size:	 150
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	23.729825	
0.05 	12.762903	
0.033 	10.255556	
0.025 	14.765926	
0.02 	17.815534	
 
CBR Pkt_size:	 200
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	24.496296	
0.05 	12.775835	
0.033 	10.548387	
0.025 	9.483197	
0.02 	8.773994	
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	23.077703	
0.05 	12.295840	
0.033 	11.490291	
0.025 	8.355918	
0.02 	8.468796	
 
CBR Pkt_size:	 50
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	20.878049	
0.05 	11.174515	
0.033 	8.753802	
0.025 	10.036036	
0.02 	6.898972	
 
CBR Pkt_size:	 100
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	18.361878	
0.05 	12.296012	
0.033 	9.509845	
0.025 	9.170155	
0.02 	11.945829	
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	22.942177	
0.05 	11.560870	
0.033 	8.847573	
0.025 	13.250678	
0.02 	8.759259	
 
CBR Pkt_size:	 200
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	20.014706	
0.05 	11.188302	
0.033 	9.268342	
0.025 	8.852014	
0.02 	6.532880	
 
CBR Pkt_size:	 250
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	20.843077	
0.05 	11.350852	
0.033 	8.928502	
0.025 	11.546929	
0.02 	7.870856	
 
CBR Pkt_size:	 50
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	20.474926	
0.05 	12.182927	
0.033 	9.762766	
0.025 	6.996647	
0.02 	7.104904	
 
CBR Pkt_size:	 100
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	21.228395	
0.05 	11.857353	
0.033 	8.756705	
0.025 	11.425223	
0.02 	6.220193	
 
CBR Pkt_size:	 150
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	31.646226	
0.05 	14.570642	
0.033 	9.603109	
0.025 	7.408927	
0.02 	9.263932	
 
CBR Pkt_size:	 200
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	20.129794	
0.05 	15.363107	
0.033 	10.218994	
0.025 	7.703377	
0.02 	7.157373	
 
CBR Pkt_size:	 250
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	19.847953	
0.05 	10.774667	
0.033 	8.197145	
0.025 	6.956000	
0.02 	10.681818	
 
CBR Pkt_size:	 50
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	20.572755	
0.05 	12.168712	
0.033 	9.089731	
0.025 	11.375948	
0.02 	7.415551	
 
CBR Pkt_size:	 100
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	20.996865	
0.05 	13.472696	
0.033 	9.444444	
0.025 	7.990783	
0.02 	8.265493	
 
CBR Pkt_size:	 150
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	20.513846	
0.05 	12.299532	
0.033 	9.274770	
0.025 	10.920916	
0.02 	6.620173	
 
CBR Pkt_size:	 200
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	20.781538	
0.05 	11.952672	
0.033 	9.409417	
0.025 	8.618693	
0.02 	10.309896	
 
CBR Pkt_size:	 250
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	22.369128	
0.05 	13.960784	
0.033 	9.365047	
0.025 	9.660465	
